Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"DOBUTAMINA 12,5MG/ML","CAF",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","2","2","","correto","3","3","","correto","5","5","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","15","15","","correto","15","0","15","incorreto","8","8","","correto",
"BROMOPRIDA GTS","CAF",69.57,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","51","51","","correto","21","22","-1","incorreto","88","89","-1","incorreto","72","72","","correto","7","6","1","incorreto","8","7","1","incorreto","8","8","","correto","7","7","","correto","7","7","","correto","9","9","","correto","6","6","","correto","10","10","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","10","10","","correto","160","160","","correto","2","0","2","incorreto","1149","1153","-4","incorreto",
"NISTATINA 100.000 SUSP FRASCO 60 ML","CAF",91.30,"2","2","","correto","6","6","","correto","9","9","","correto","9","9","","correto","15","15","","correto","23","23","","correto","13","13","","correto","45","45","","correto","9","9","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","2","","correto","27","27","","correto","27","0","27","incorreto","121","121","","correto",
"RIVAROXABANA 10 MG (XARELTO)","CAF",95.65,"0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","4","4","","correto","10","10","","correto","3","3","","correto","16","16","","correto","30","30","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","9","9","","correto","90","90","","correto","-30","0","-30","incorreto","480","480","","correto",
"ALBENDAZOL 400 MG","CAF",69.57,"4","4","","correto","8","8","","correto","10","10","","correto","14","14","","correto","23","23","","correto","45","46","-1","incorreto","19","20","-1","incorreto","78","79","-1","incorreto","48","48","","correto","9","7","2","incorreto","10","9","1","incorreto","9","9","","correto","9","9","","correto","10","10","","correto","9","9","","correto","9","9","","correto","10","10","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","10","10","","correto","160","160","","correto","-199","0","-199","incorreto","915","917","-2","incorreto",
"HIDROGEL COM ALGINATO - SAF GEL 85 GR","CAF",86.96,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","4","4","","correto","14","14","","correto","3","3","","correto","25","25","","correto","5","5","","correto","0","0","","correto","0","0","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","15","15","","correto","15","0","15","incorreto","83","83","","correto",
"COLCHICINA0,5MG","CAF",91.30,"0","0","","correto","1","1","","correto","2","2","","correto","3","3","","correto","4","4","","correto","8","8","","correto","3","3","","correto","14","14","","correto","30","30","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","8","8","","correto","90","90","","correto","90","0","90","incorreto","420","420","","correto",
"AGULHA PARA CANETA DE INSULINA 4MM","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","960","960","","correto","480","480","","correto","545","545","","correto","545","545","","correto","555","555","","correto","495","495","","correto","540","540","","correto","525","525","","correto","525","525","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","555","555","","correto","8880","8880","","correto","8880","2395","6485","incorreto","46530","46530","","correto",
"ACIDO TRANEXÂMICO 250MG - TRANSAMIN","CAF",91.30,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","25","25","","correto","45","45","","correto","21","21","","correto","73","73","","correto","156","156","","correto","36","36","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","48","48","","correto","60","60","","correto","48","48","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","60","60","","correto","960","960","","correto","960","444","516","incorreto","4332","4332","","correto",
"CEFTRIAXONA 500 MG INJ -IM","CAF",95.65,"1","1","","correto","1","1","","correto","1","1","","correto","3","3","","correto","6","6","","correto","16","16","","correto","5","5","","correto","34","34","","correto","15","15","","correto","7","7","","correto","7","7","","correto","7","7","","correto","7","7","","correto","1","1","","correto","1","1","","correto","1","1","","correto","3","3","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","3","-1","incorreto","45","45","","correto","42","42","","correto","149","149","","correto",
