Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"HALOPERIDOL 5 MG /ML - AMPOLA","Olavo",78.26,"2","2","","correto","6","6","","correto","9","9","","correto","12","12","","correto","21","21","","correto","44","44","","correto","18","18","","correto","77","77","","correto","21","21","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","5","3","2","incorreto","21","9","12","incorreto","21","0","21","incorreto","266","266","","correto",
"FENAZOPIRIDA 200MG - PYRIDIUM","Olavo",95.65,"0","0","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","18","18","","correto","0","0","","correto","9","9","","correto","9","9","","correto","14","14","","correto","14","14","","correto","14","14","","correto","14","14","","correto","14","14","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","18","18","","correto","18","18","","correto","27","27","","correto",
"DOBUTAMINA 12,5MG/ML","Olavo",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","3","3","","correto","2","2","","correto","3","3","","correto","5","5","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","5","5","","correto","5","4","1","incorreto","8","8","","correto",
"PARACETAMOL 750 MG","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","360","360","","correto","40","40","","correto","55","55","","correto","55","55","","correto","60","60","","correto","65","65","","correto","80","80","","correto","60","60","","correto","80","80","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","80","80","","correto","240","240","","correto","-190","0","-190","incorreto","8869","8869","","correto",
"DIGOXINA 0.25 MG","Olavo",91.30,"0","0","","correto","0","0","","correto","2","2","","correto","3","3","","correto","6","6","","correto","21","21","","correto","6","6","","correto","49","49","","correto","150","150","","correto","0","0","","correto","0","0","","correto","35","35","","correto","40","40","","correto","35","35","","correto","30","30","","correto","35","35","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","47","47","","correto","150","150","","correto","150","0","150","incorreto","2450","2450","","correto",
"HIDROCLOROTIAZIADA 25MG","Olavo",86.96,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","5","5","","correto","2","2","","correto","15","15","","correto","120","120","","correto","0","0","","correto","0","0","","correto","0","0","","correto","120","120","","correto","70","70","","correto","60","60","","correto","70","70","","correto","60","60","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","18","19","-1","incorreto","120","120","","correto","120","0","120","incorreto","980","980","","correto",
"NOREPINEFRINA 2MG/4ML - AMP","Olavo",86.96,"1","1","","correto","2","2","","correto","3","3","","correto","3","3","","correto","4","4","","correto","11","11","","correto","4","4","","correto","19","19","","correto","9","9","","correto","4","4","","correto","3","3","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","9","9","","correto","9","0","9","incorreto","92","92","","correto",
"TRAMADOL 50MG","Olavo",86.96,"1","1","","correto","1","1","","correto","1","1","","correto","2","2","","correto","7","7","","correto","17","17","","correto","5","5","","correto","33","33","","correto","240","240","","correto","210","210","","correto","210","210","","correto","210","210","","correto","115","115","","correto","38","38","","correto","100","100","","correto","38","38","","correto","50","50","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","55","56","-1","incorreto","240","240","","correto","240","210","30","incorreto","2891","2891","","correto",
"ALBENDAZOL 400 MG","Olavo",82.61,"3","3","","correto","7","7","","correto","9","9","","correto","13","13","","correto","22","22","","correto","44","44","","correto","19","19","","correto","77","77","","correto","48","48","","correto","8","8","","correto","9","9","","correto","9","9","","correto","8","8","","correto","9","9","","correto","8","8","","correto","8","8","","correto","9","9","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","15","9","6","incorreto","48","27","21","incorreto","7","0","7","incorreto","815","815","","correto",
"ADESIVO NICOTINA 7 MG","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto","0","0","","correto","14","14","","correto","315","315","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","28","28","","correto","0","0","","correto","49","49","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1015","1015","","correto",
"FRALDA DESC GERIATRICA - M","Olavo",91.30,"1","1","","correto","3","3","","correto","4","4","","correto","4","4","","correto","6","6","","correto","19","19","","correto","6","6","","correto","43","43","","correto","240","240","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","50","50","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","69","69","","correto","240","240","","correto","240","0","240","incorreto","3598","3598","","correto",
"MEDROXIPROGESTERONA, ACETATO + CIPIONATO DE ESTRADIOL (CYCLOFEMINA)","Olavo",91.30,"0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","1","1","","correto","1","0","1","incorreto","1","1","","correto",
"CETOPROFENO 100 MG - EV","Olavo",82.61,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","31","31","","correto","22","22","","correto","31","31","","correto","63","63","","correto","31","31","","correto","31","31","","correto","32","32","","correto","31","31","","correto","29","29","","correto","22","22","","correto","31","31","","correto","22","22","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","13","32","-19","incorreto","63","96","-33","incorreto","34","67","-33","incorreto","707","707","","correto",
"ETOMIDATO 2 MG/ML - AMP","Olavo",91.30,"3","3","","correto","4","4","","correto","4","4","","correto","5","5","","correto","7","7","","correto","13","13","","correto","5","5","","correto","24","24","","correto","7","7","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","7","7","","correto","-7","0","-7","incorreto","41","41","","correto",
"NISTATINA POMADA VAG.","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","49","49","","correto","22","22","","correto","85","85","","correto","18","18","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","4","4","","correto","12","12","","correto","-2","0","-2","incorreto","354","354","","correto",
"NITROGLICERINA 5 MG/ML - TRIDIL","Olavo",91.30,"1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","4","4","","correto","2","2","","correto","6","6","","correto","8","8","","correto","1","1","","correto","1","1","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","0","","correto","8","8","","correto","8","0","8","incorreto","20","20","","correto",
"FRALDA DESC GERIATRICA - P","Olavo",86.96,"2","2","","correto","3","3","","correto","4","4","","correto","6","6","","correto","10","10","","correto","20","20","","correto","8","8","","correto","30","30","","correto","150","150","","correto","75","75","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","51","52","-1","incorreto","150","150","","correto","150","0","150","incorreto","2700","2700","","correto",
"SILYBUM MARIANUM 300MG (FORFIG)","Olavo",95.65,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","30","30","","correto","30","30","","correto","30","30","","correto",
"NORFLOXACINO 400MG","Olavo",91.30,"1","1","","correto","2","2","","correto","3","3","","correto","3","3","","correto","5","5","","correto","14","14","","correto","3","3","","correto","32","32","","correto","70","70","","correto","14","14","","correto","42","42","","correto","56","56","","correto","56","56","","correto","14","14","","correto","20","20","","correto","56","56","","correto","28","28","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","16","17","-1","incorreto","70","70","","correto","-42","0","-42","incorreto","880","880","","correto",
"POLIVITAMINICO GTS","Olavo",86.96,"1","1","","correto","1","1","","correto","3","3","","correto","4","4","","correto","7","7","","correto","18","18","","correto","6","6","","correto","20","20","","correto","4","4","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","4","4","","correto","4","2","2","incorreto","31","31","","correto",
"NISTATINA 100.000 SUSP FRASCO 60 ML","Olavo",91.30,"1","1","","correto","4","4","","correto","6","6","","correto","6","6","","correto","10","10","","correto","18","18","","correto","8","8","","correto","40","40","","correto","9","9","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","2","","correto","9","9","","correto","9","0","9","incorreto","105","105","","correto",
"IBUPROFENO 50MG/ML - GOTAS","Olavo",82.61,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","42","42","","correto","22","22","","correto","46","46","","correto","19","19","","correto","5","5","","correto","5","5","","correto","6","6","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","5","6","-1","incorreto","19","18","1","incorreto","-1","0","-1","incorreto","269","269","","correto",
"ROCURÔNIO 50 MG/ 5 ML - IV","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto",
"SULFAMET. +TRIMETOPRIMA  400 + 80MG","Olavo",82.61,"3","3","","correto","6","6","","correto","10","10","","correto","14","14","","correto","21","21","","correto","43","43","","correto","20","20","","correto","77","77","","correto","220","220","","correto","20","20","","correto","25","25","","correto","35","35","","correto","30","30","","correto","40","40","","correto","40","40","","correto","35","35","","correto","50","50","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","79","50","29","incorreto","220","150","70","incorreto","90","20","70","incorreto","4139","4139","","correto",
"INSULINA HUMANA NPH 100 UI/ML - CANETA","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","113","113","","correto","47","47","","correto","47","47","","correto","52","52","","correto","52","52","","correto","52","52","","correto","51","51","","correto","52","52","","correto","54","54","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","54","54","","correto","162","162","","correto","-41","0","-41","incorreto","4963","4963","","correto",
"PHOSFOENEMA 130ML","Olavo",86.96,"1","1","","correto","2","2","","correto","3","3","","correto","6","6","","correto","9","9","","correto","22","22","","correto","8","8","","correto","40","40","","correto","9","9","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","3","3","","correto","1","1","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","3","-1","incorreto","9","9","","correto","9","0","9","incorreto","132","132","","correto",
"ADESIVO NICOTINA 21 MG","Olavo",91.30,"3","3","","correto","3","3","","correto","4","4","","correto","4","4","","correto","9","9","","correto","20","20","","correto","6","6","","correto","27","27","","correto","350","350","","correto","42","42","","correto","42","42","","correto","42","42","","correto","42","42","","correto","42","42","","correto","49","49","","correto","42","42","","correto","42","42","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","39","40","-1","incorreto","350","350","","correto","-8785","0","-8785","incorreto","2065","2065","","correto",
"MEDROXIPROGESTERONA, ACETATO 150MG/ML (DEPOPROVERA)","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","50","50","","correto","22","22","","correto","88","88","","correto","13","13","","correto","5","5","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","4","4","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","5","5","","correto","15","15","","correto","-2","0","-2","incorreto","412","412","","correto",
"METOPROLOL 25 MG","Olavo",82.61,"3","3","","correto","3","3","","correto","6","6","","correto","10","10","","correto","20","20","","correto","36","36","","correto","16","16","","correto","47","47","","correto","540","540","","correto","60","60","","correto","60","60","","correto","75","75","","correto","105","105","","correto","165","165","","correto","120","120","","correto","105","105","","correto","120","120","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","127","165","-38","incorreto","540","495","45","incorreto","90","45","45","incorreto","6630","6630","","correto",
"PARACETAMOL 200 MG/ ML -  FRASCO 15 ML GOTAS","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","34","34","","correto","12","12","","correto","12","12","","correto","12","12","","correto","12","12","","correto","10","10","","correto","12","12","","correto","11","11","","correto","13","13","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","13","13","","correto","39","39","","correto","-28","0","-28","incorreto","1344","1344","","correto",
"AMIODARONA 50MG/ML - AMP","Olavo",91.30,"2","2","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","11","11","","correto","3","3","","correto","14","14","","correto","10","10","","correto","4","4","","correto","3","3","","correto","3","3","","correto","3","3","","correto","3","3","","correto","2","2","","correto","3","3","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","10","10","","correto","-10","0","-10","incorreto","46","46","","correto",
"TALA METALICA","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","0","0","","correto","1","1","","correto","6","6","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto","0","0","","correto","6","6","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","6","6","","correto",
"PREDNISONA 5 MG - CP","Olavo",82.61,"2","2","","correto","6","6","","correto","10","10","","correto","12","12","","correto","19","19","","correto","36","36","","correto","15","15","","correto","68","68","","correto","480","480","","correto","90","90","","correto","60","60","","correto","50","50","","correto","50","50","","correto","40","40","","correto","53","53","","correto","40","40","","correto","63","63","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","107","90","17","incorreto","480","270","210","incorreto","-60","0","-60","incorreto","5570","5570","","correto",
"IMIPRAMINA 25 MG","Olavo",82.61,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","24","24","","correto","44","44","","correto","21","21","","correto","77","77","","correto","420","420","","correto","165","165","","correto","120","120","","correto","120","120","","correto","110","110","","correto","90","90","","correto","90","90","","correto","90","90","","correto","110","110","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","204","165","39","incorreto","420","495","-75","incorreto","280","355","-75","incorreto","10640","10640","","correto",
"PROPRANOLOL 40MG","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","51","51","","correto","22","22","","correto","83","83","","correto","620","620","","correto","110","110","","correto","100","100","","correto","100","100","","correto","100","100","","correto","105","105","","correto","120","120","","correto","100","100","","correto","140","140","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","140","140","","correto","420","420","","correto","-160","0","-160","incorreto","14340","14340","","correto",
"TIBOLONA 1,25MG","Olavo",82.61,"1","1","","correto","3","3","","correto","6","6","","correto","6","6","","correto","13","13","","correto","29","29","","correto","11","11","","correto","49","49","","correto","245","245","","correto","105","105","","correto","105","105","","correto","70","70","","correto","70","70","","correto","70","70","","correto","70","70","","correto","70","70","","correto","70","70","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","77","105","-28","incorreto","245","315","-70","incorreto","-88","0","-88","incorreto","4010","4010","","correto",
"BUPROPIONA 150 MG - TABAGISMO","Olavo",82.61,"4","4","","correto","7","7","","correto","10","10","","correto","12","12","","correto","20","20","","correto","42","42","","correto","16","16","","correto","69","69","","correto","1770","1770","","correto","135","135","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","120","120","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","219","135","84","incorreto","1770","405","1365","incorreto","-8770","0","-8770","incorreto","11400","11400","","correto",
"CARBAMAZEPINA SUSP. 100 ML- 20 MG/ML","Olavo",86.96,"1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","3","3","","correto","8","8","","correto","2","2","","correto","16","16","","correto","8","8","","correto","5","5","","correto","5","5","","correto","5","5","","correto","5","5","","correto","7","7","","correto","6","6","","correto","6","6","","correto","6","6","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","8","8","","correto","8","0","8","incorreto","95","95","","correto",
"OXCARBAZEPINA 300 MG","Olavo",82.61,"4","4","","correto","7","7","","correto","11","11","","correto","13","13","","correto","21","21","","correto","41","41","","correto","18","18","","correto","78","78","","correto","420","420","","correto","105","105","","correto","90","90","","correto","90","90","","correto","90","90","","correto","120","120","","correto","120","120","","correto","105","105","","correto","120","120","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","225","120","105","incorreto","420","360","60","incorreto","150","90","60","incorreto","11700","11700","","correto",
"ACIDO FOLICO 5MG","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","540","540","","correto","190","190","","correto","190","190","","correto","190","190","","correto","190","190","","correto","190","190","","correto","180","180","","correto","190","190","","correto","200","200","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","200","200","","correto","600","600","","correto","-200","0","-200","incorreto","18920","18920","","correto",
"SULFAM. + TRIMETROP. 40 + 8 MG/ML - SUSPENSÃO ORAL 100 ML","Olavo",86.96,"0","0","","correto","1","1","","correto","2","2","","correto","4","4","","correto","7","7","","correto","17","17","","correto","7","7","","correto","41","41","","correto","8","8","","correto","0","0","","correto","1","1","","correto","2","2","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","2","-1","incorreto","8","8","","correto","8","0","8","incorreto","84","84","","correto",
"METRONIDAZOL 250 MG","Olavo",82.61,"3","3","","correto","7","7","","correto","11","11","","correto","15","15","","correto","21","21","","correto","43","43","","correto","20","20","","correto","76","76","","correto","280","280","","correto","100","100","","correto","60","60","","correto","80","80","","correto","60","60","","correto","80","80","","correto","80","80","","correto","70","70","","correto","80","80","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","147","100","47","incorreto","280","300","-20","incorreto","-460","0","-460","incorreto","7672","7672","","correto",
"NALTREXONA 50 MG","Olavo",95.65,"0","0","","correto","0","0","","correto","1","1","","correto","2","2","","correto","2","2","","correto","4","4","","correto","2","2","","correto","4","4","","correto","60","60","","correto","0","0","","correto","0","0","","correto","60","60","","correto","45","45","","correto","45","45","","correto","30","30","","correto","45","45","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","2","3","-1","incorreto","60","60","","correto","60","60","","correto","150","150","","correto",
"RISPERIDONA 1 MG/ML SOLUÇÃO","Olavo",91.30,"1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","8","8","","correto","13","13","","correto","5","5","","correto","23","23","","correto","17","17","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","1","1","","correto","17","17","","correto","17","0","17","incorreto","72","72","","correto",
"MIRABEGRONA 50MG","Olavo",95.65,"0","0","","correto","0","0","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","1","1","","correto","30","30","","correto","0","0","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","0","1","-1","incorreto","30","30","","correto","30","30","","correto","30","30","","correto",
"PETIDINA 50MG/ML(DOLANTINA)","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","0","0","","correto","2","2","","correto","6","6","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","4","4","","correto","0","0","","correto","4","4","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","8","8","","correto",
"GLICONATO DE CALCIO 10% - AMP","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","0","0","","correto","2","2","","correto","9","9","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","5","5","","correto","0","0","","correto","5","5","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","10","10","","correto",
"LOPERAMIDA 2 MG","Olavo",82.61,"1","1","","correto","4","4","","correto","6","6","","correto","8","8","","correto","14","14","","correto","26","26","","correto","11","11","","correto","55","55","","correto","388","388","","correto","120","120","","correto","120","120","","correto","80","80","","correto","66","66","","correto","66","66","","correto","26","26","","correto","72","72","","correto","20","20","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","45","120","-75","incorreto","388","360","28","incorreto","128","100","28","incorreto","2344","2344","","correto",
"PENTOXIFILINA 400 MG","Olavo",82.61,"2","2","","correto","4","4","","correto","6","6","","correto","7","7","","correto","12","12","","correto","27","27","","correto","10","10","","correto","50","50","","correto","150","150","","correto","60","60","","correto","30","30","","correto","30","30","","correto","30","30","","correto","30","30","","correto","60","60","","correto","30","30","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","57","60","-3","incorreto","150","180","-30","incorreto","0","30","-30","incorreto","3000","3000","","correto",
"LEVOMEPROMAZINA 25MG","Olavo",78.26,"2","2","","correto","4","4","","correto","5","5","","correto","8","8","","correto","12","12","","correto","26","26","","correto","9","9","","correto","47","47","","correto","150","150","","correto","75","75","","correto","60","60","","correto","60","60","","correto","45","45","","correto","60","60","","correto","55","55","","correto","60","60","","correto","60","60","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","55","75","-20","incorreto","150","225","-75","incorreto","150","0","150","incorreto","2900","2900","","correto",
"FLUCONAZOL 150 MG","Olavo",95.65,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","25","25","","correto","47","47","","correto","21","21","","correto","83","83","","correto","70","70","","correto","9","9","","correto","9","9","","correto","10","10","","correto","10","10","","correto","10","10","","correto","10","10","","correto","10","10","","correto","12","12","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","12","12","","correto","36","36","","correto","-4","0","-4","incorreto","1454","1454","","correto",
"VALPROATO DE SÓDIO 50 MG/ML - XPE","Olavo",82.61,"2","2","","correto","5","5","","correto","8","8","","correto","11","11","","correto","16","16","","correto","33","33","","correto","13","13","","correto","56","56","","correto","27","27","","correto","10","10","","correto","8","8","","correto","7","7","","correto","8","8","","correto","9","9","","correto","8","8","","correto","9","9","","correto","8","8","","correto","2.INTERMITENTES","1.ORDINÁRIOS","","incorreto","11","10","1","incorreto","27","30","-3","incorreto","-8","0","-8","incorreto","596","596","","correto",
"AMINOFILINA 100 MG","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","10","10","","correto","0","0","","correto","15","15","","correto","90","90","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","40","40","","correto","40","40","","correto","0","0","","correto","40","40","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","720","720","","correto",
"MIRTAZAPINA 15MG","Olavo",95.65,"0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","2","2","","correto","2","2","","correto","1","1","","correto","2","2","","correto","60","60","","correto","0","0","","correto","0","0","","correto","0","0","","correto","0","0","","correto","60","60","","correto","60","60","","correto","60","60","","correto","60","60","","correto","3.INATIVOS","3.INATIVOS","","correto","0","0","","correto","0","0","","correto","0","0","","correto","120","120","","correto",
