Medicamento,Unidade,Acerto Geral,Contagem 4 semanas (Calc),Contagem 4 semanas (Gab),Contagem 4 semanas (Dif),Contagem 4 semanas (Status),Contagem 8 semanas (Calc),Contagem 8 semanas (Gab),Contagem 8 semanas (Dif),Contagem 8 semanas (Status),Contagem 12 semanas (Calc),Contagem 12 semanas (Gab),Contagem 12 semanas (Dif),Contagem 12 semanas (Status),Contagem 16 semanas (Calc),Contagem 16 semanas (Gab),Contagem 16 semanas (Dif),Contagem 16 semanas (Status),Contagem 26 semanas (Calc),Contagem 26 semanas (Gab),Contagem 26 semanas (Dif),Contagem 26 semanas (Status),Contagem 52 semanas (Calc),Contagem 52 semanas (Gab),Contagem 52 semanas (Dif),Contagem 52 semanas (Status),Contagem ano (Calc),Contagem ano (Gab),Contagem ano (Dif),Contagem ano (Status),Contagem total (Calc),Contagem total (Gab),Contagem total (Dif),Contagem total (Status),Máximo (Calc),Máximo (Gab),Máximo (Dif),Máximo (Status),Mediana 4 semanas (Calc),Mediana 4 semanas (Gab),Mediana 4 semanas (Dif),Mediana 4 semanas (Status),Mediana 8 semanas (Calc),Mediana 8 semanas (Gab),Mediana 8 semanas (Dif),Mediana 8 semanas (Status),Mediana 12 semanas (Calc),Mediana 12 semanas (Gab),Mediana 12 semanas (Dif),Mediana 12 semanas (Status),Mediana 16 semanas (Calc),Mediana 16 semanas (Gab),Mediana 16 semanas (Dif),Mediana 16 semanas (Status),Mediana 26 semanas (Calc),Mediana 26 semanas (Gab),Mediana 26 semanas (Dif),Mediana 26 semanas (Status),Mediana 52 semanas (Calc),Mediana 52 semanas (Gab),Mediana 52 semanas (Dif),Mediana 52 semanas (Status),Mediana ano (Calc),Mediana ano (Gab),Mediana ano (Dif),Mediana ano (Status),Mediana total (Calc),Mediana total (Gab),Mediana total (Dif),Mediana total (Status),Tipo método (Calc),Tipo método (Gab),Tipo método (Dif),Tipo método (Status),Método (Calc),Método (Gab),Método (Dif),Método (Status),MetEst (Calc),MetEst (Gab),MetEst (Dif),MetEst (Status),Reposição (Calc),Reposição (Gab),Reposição (Dif),Reposição (Status),Total Geral (Calc),Total Geral (Gab),Total Geral (Dif),Total Geral (Status)
"CLOMIPRAMINA, CLORIDRATO 25 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","940","940","","correto","480","480","","correto","340","340","","correto","330","330","","correto","330","330","","correto","330","330","","correto","330","330","","correto","330","330","","correto","340","340","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","480","480","","correto","7680","7680","","correto","7680","3920","3760","incorreto","35452","35452","","correto",
"RIFOCINA SPRAY","CAF",91.30,"4","4","","correto","7","7","","correto","9","9","","correto","12","12","","correto","20","20","","correto","40","40","","correto","17","17","","correto","71","71","","correto","11","11","","correto","2","2","","correto","1","1","","correto","1","1","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","2","2","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","2","2","","correto","32","32","","correto","32","0","32","incorreto","197","197","","correto",
"LEVOMEPROMAZINA 25MG","CAF",91.30,"2","2","","correto","5","5","","correto","7","7","","correto","11","11","","correto","15","15","","correto","29","29","","correto","12","12","","correto","50","50","","correto","180","180","","correto","90","90","","correto","60","60","","correto","60","60","","correto","30","30","","correto","60","60","","correto","50","50","","correto","45","45","","correto","60","60","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","90","90","","correto","1440","1440","","correto","1440","690","750","incorreto","3170","3170","","correto",
"GENTAMICINA 80 MG INJ- AMPOLA","CAF",91.30,"0","0","","correto","0","0","","correto","0","0","","correto","1","1","","correto","3","3","","correto","8","8","","correto","2","2","","correto","13","13","","correto","100","100","","correto","0","0","","correto","0","0","","correto","0","0","","correto","30","30","","correto","30","30","","correto","30","30","","correto","25","25","","correto","30","30","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","10","10","","correto","300","300","","correto","300","0","300","incorreto","505","505","","correto",
"DIOSMINA + HESPERIDINA 450/50 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","2640","2640","","correto","1920","1920","","correto","1920","1920","","correto","2048","2048","","correto","2003","2003","","correto","1950","1950","","correto","1770","1770","","correto","1965","1965","","correto","1500","1500","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","2048","2048","","correto","32768","32768","","correto","32768","12008","20760","incorreto","138785","138785","","correto",
"NORFLOXACINO 400MG","CAF",91.30,"1","1","","correto","2","2","","correto","4","4","","correto","4","4","","correto","8","8","","correto","18","18","","correto","6","6","","correto","36","36","","correto","70","70","","correto","14","14","","correto","42","42","","correto","49","49","","correto","49","49","","correto","21","21","","correto","27","27","","correto","35","35","","correto","28","28","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","19","19","","correto","210","210","","correto","210","0","210","incorreto","994","994","","correto",
"CETOPROFENO 50 MG","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","90","90","","correto","1387","1387","","correto","828","828","","correto","780","780","","correto","816","816","","correto","852","852","","correto","828","828","","correto","835","835","","correto","840","840","","correto","823","823","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","852","852","","correto","13632","13632","","correto","13632","3018","10614","incorreto","76049","76049","","correto",
"PREDNISONA 5 MG - CP","CAF",91.30,"3","3","","correto","7","7","","correto","11","11","","correto","13","13","","correto","22","22","","correto","40","40","","correto","18","18","","correto","72","72","","correto","480","480","","correto","40","40","","correto","80","80","","correto","60","60","","correto","60","60","","correto","55","55","","correto","60","60","","correto","55","55","","correto","80","80","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","80","80","","correto","1280","1280","","correto","1280","0","1280","incorreto","6120","6120","","correto",
"BUSCOPAM SIMPLES INJETAVEL","CAF",91.30,"2","2","","correto","3","3","","correto","4","4","","correto","5","5","","correto","6","6","","correto","13","13","","correto","5","5","","correto","18","18","","correto","130","130","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","100","100","","correto","2.INTERMITENTES","2.INTERMITENTES","","correto","25","25","","correto","390","390","","correto","390","220","170","incorreto","1300","1300","","correto",
"SUPLEMENTO VITAMINICO A-Z","CAF",91.30,"4","4","","correto","8","8","","correto","12","12","","correto","16","16","","correto","26","26","","correto","52","52","","correto","22","22","","correto","89","89","","correto","780","780","","correto","240","240","","correto","345","345","","correto","420","420","","correto","420","420","","correto","360","360","","correto","328","328","","correto","390","390","","correto","310","310","","correto","1.ORDINÁRIOS","1.ORDINÁRIOS","","correto","420","420","","correto","6720","6720","","correto","6720","3025","3695","incorreto","29567","29567","","correto",
